,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc0,0.03,0.03,0.03,0.03,0.41,0.03,0.03,0.39,0.03,0.03,4
Doc1,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,5
Doc2,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,4
Doc3,0.01,0.01,0.01,0.63,0.01,0.01,0.01,0.01,0.14,0.14,3
Doc4,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc5,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,5
Doc6,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,7
Doc7,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc8,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc9,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc10,0.01,0.01,0.01,0.01,0.01,0.14,0.76,0.01,0.01,0.01,6
Doc11,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.52,0.03,8
Doc12,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
Doc13,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc14,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc15,0.01,0.01,0.01,0.01,0.01,0.01,0.79,0.01,0.12,0.01,6
Doc16,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,4
Doc17,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc18,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc19,0.01,0.2,0.01,0.01,0.01,0.01,0.29,0.01,0.41,0.01,8
Doc20,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.76,9
Doc21,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.71,0.01,8
Doc22,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc23,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc24,0.01,0.01,0.01,0.01,0.3,0.01,0.44,0.01,0.16,0.01,6
Doc25,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,3
Doc26,0.01,0.12,0.01,0.01,0.68,0.01,0.01,0.01,0.12,0.01,4
Doc27,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc28,0.59,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0
Doc29,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc30,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc31,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,7
Doc32,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc33,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc34,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc35,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.01,0.01,0.78,9
Doc36,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.42,0.02,2
Doc37,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.68,9
Doc38,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc39,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
Doc40,0.01,0.01,0.13,0.01,0.78,0.01,0.01,0.01,0.01,0.01,4
Doc41,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.18,0.02,0.02,1
Doc42,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc43,0.02,0.02,0.02,0.02,0.22,0.62,0.02,0.02,0.02,0.02,5
Doc44,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc45,0.01,0.01,0.01,0.01,0.73,0.16,0.01,0.01,0.01,0.01,4
Doc46,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Doc47,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.59,0.01,0.3,7
Doc48,0.01,0.1,0.01,0.7,0.13,0.01,0.01,0.01,0.01,0.01,3
Doc49,0.01,0.01,0.01,0.01,0.01,0.01,0.72,0.01,0.01,0.17,6
Doc50,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc51,0.01,0.01,0.01,0.01,0.1,0.08,0.01,0.01,0.01,0.78,9
Doc52,0.1,0.74,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.01,1
Doc53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc54,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc55,0.01,0.01,0.69,0.01,0.01,0.01,0.01,0.01,0.01,0.21,2
Doc56,0.18,0.02,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,6
Doc57,0.02,0.02,0.02,0.02,0.26,0.58,0.02,0.02,0.02,0.02,5
Doc58,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc59,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc60,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,9
Doc62,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc63,0.08,0.01,0.01,0.01,0.09,0.69,0.01,0.09,0.01,0.01,5
Doc64,0.02,0.3,0.3,0.28,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc65,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc66,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc67,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc68,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc69,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0
Doc70,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.62,0.02,8
Doc71,0.11,0.01,0.01,0.01,0.01,0.81,0.01,0.01,0.01,0.01,5
Doc72,0.02,0.18,0.02,0.02,0.68,0.02,0.02,0.02,0.02,0.02,4
Doc73,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc74,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc75,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,0.01,5
Doc76,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc77,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc78,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc79,0.01,0.73,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,1
Doc80,0.69,0.13,0.01,0.01,0.11,0.01,0.01,0.01,0.01,0.01,0
Doc81,0.28,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,7
Doc82,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc83,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,9
Doc84,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,8
Doc85,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,5
Doc86,0.16,0.01,0.01,0.01,0.01,0.01,0.78,0.01,0.01,0.01,6
Doc87,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc88,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc89,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc90,0.01,0.89,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc91,0.18,0.02,0.02,0.02,0.02,0.68,0.02,0.02,0.02,0.02,5
Doc92,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,7
Doc93,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc94,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc95,0.02,0.02,0.18,0.02,0.02,0.68,0.02,0.02,0.02,0.02,5
Doc96,0.26,0.01,0.01,0.01,0.52,0.01,0.01,0.14,0.01,0.01,4
Doc97,0.01,0.01,0.01,0.01,0.81,0.01,0.11,0.01,0.01,0.01,4
Doc98,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc99,0.18,0.02,0.02,0.68,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc100,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.73,9
Doc101,0.01,0.01,0.11,0.13,0.01,0.01,0.59,0.01,0.11,0.01,6
Doc102,0.01,0.01,0.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc103,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc104,0.03,0.27,0.03,0.03,0.52,0.03,0.03,0.03,0.03,0.03,4
Doc105,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc106,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc107,0.02,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,5
Doc108,0.02,0.02,0.22,0.02,0.02,0.02,0.62,0.02,0.02,0.02,6
Doc109,0.08,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,8
Doc110,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc111,0.02,0.02,0.02,0.02,0.02,0.66,0.02,0.02,0.2,0.02,5
Doc112,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc113,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc114,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc115,0.02,0.02,0.02,0.24,0.02,0.02,0.6,0.02,0.02,0.02,6
Doc116,0.76,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0
Doc117,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc118,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc119,0.03,0.03,0.03,0.03,0.27,0.03,0.52,0.03,0.03,0.03,6
Doc120,0.01,0.01,0.11,0.01,0.01,0.1,0.73,0.01,0.01,0.01,6
Doc121,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc122,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc123,0.01,0.01,0.01,0.8,0.01,0.01,0.01,0.01,0.01,0.12,3
Doc124,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc125,0.01,0.01,0.01,0.01,0.9,0.01,0.01,0.01,0.01,0.01,4
Doc126,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc127,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,9
Doc128,0.22,0.02,0.02,0.22,0.02,0.02,0.42,0.02,0.02,0.02,6
Doc129,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc130,0.01,0.79,0.01,0.01,0.01,0.01,0.12,0.01,0.01,0.01,1
Doc131,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
Doc132,0.01,0.01,0.19,0.18,0.01,0.01,0.01,0.01,0.16,0.39,9
Doc133,0.01,0.01,0.01,0.01,0.54,0.2,0.16,0.01,0.01,0.01,4
Doc134,0.03,0.27,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc135,0.31,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.61,9
Doc136,0.01,0.14,0.01,0.18,0.22,0.01,0.01,0.01,0.39,0.01,8
Doc137,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc138,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.43,9
Doc139,0.02,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,5
Doc140,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc141,0.01,0.01,0.01,0.44,0.46,0.01,0.01,0.01,0.01,0.01,4
Doc142,0.14,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.39,0.01,2
Doc143,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc144,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc145,0.01,0.01,0.23,0.16,0.12,0.08,0.29,0.01,0.01,0.08,6
Doc146,0.02,0.02,0.2,0.02,0.02,0.02,0.26,0.02,0.02,0.42,9
Doc147,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,7
Doc148,0.02,0.34,0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.22,1
Doc149,0.39,0.01,0.01,0.01,0.2,0.01,0.34,0.01,0.01,0.01,0
Doc150,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,6
Doc151,0.01,0.69,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.01,1
Doc152,0.55,0.19,0.1,0.01,0.01,0.01,0.01,0.01,0.1,0.01,0
Doc153,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc154,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1
Doc155,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc156,0.01,0.01,0.37,0.48,0.01,0.01,0.01,0.01,0.01,0.1,3
Doc157,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,9
Doc158,0.01,0.12,0.01,0.01,0.17,0.01,0.2,0.01,0.45,0.01,8
Doc159,0.02,0.02,0.22,0.62,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc160,0.02,0.02,0.02,0.02,0.18,0.68,0.02,0.02,0.02,0.02,5
Doc161,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,9
Doc162,0.14,0.01,0.01,0.01,0.28,0.51,0.01,0.01,0.01,0.01,5
Doc163,0.01,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,6
Doc164,0.01,0.01,0.01,0.23,0.12,0.01,0.01,0.01,0.01,0.58,9
Doc165,0.01,0.01,0.01,0.15,0.16,0.01,0.01,0.01,0.01,0.6,9
Doc166,0.02,0.02,0.02,0.02,0.35,0.18,0.02,0.35,0.02,0.02,4
Doc167,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.52,0.03,8
Doc168,0.74,0.01,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0
Doc169,0.35,0.18,0.02,0.02,0.02,0.02,0.02,0.35,0.02,0.02,0
Doc170,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,4
Doc171,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc172,0.02,0.35,0.02,0.18,0.02,0.02,0.18,0.18,0.02,0.02,1
Doc173,0.02,0.02,0.02,0.02,0.25,0.02,0.59,0.02,0.02,0.02,6
Doc174,0.01,0.16,0.16,0.3,0.01,0.16,0.16,0.01,0.01,0.01,3
Doc175,0.02,0.02,0.02,0.24,0.02,0.02,0.6,0.02,0.02,0.02,6
Doc176,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc177,0.01,0.4,0.01,0.01,0.01,0.49,0.01,0.01,0.01,0.01,5
Doc178,0.01,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.14,0.64,9
Doc179,0.01,0.01,0.5,0.25,0.1,0.01,0.01,0.01,0.1,0.01,2
Doc180,0.35,0.02,0.02,0.18,0.02,0.02,0.02,0.02,0.02,0.35,0
Doc181,0.22,0.01,0.01,0.01,0.01,0.14,0.56,0.01,0.01,0.01,6
Doc182,0.59,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01,0
Doc183,0.03,0.03,0.32,0.27,0.03,0.03,0.03,0.03,0.03,0.23,2
Doc184,0.02,0.22,0.02,0.31,0.02,0.33,0.02,0.02,0.02,0.02,5
Doc185,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc186,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc187,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,9
Doc188,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc189,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc190,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.39,0.01,6
Doc191,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc192,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.22,7
Doc193,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.42,9
Doc194,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0
Doc195,0.01,0.11,0.21,0.01,0.11,0.01,0.11,0.11,0.31,0.01,8
Doc196,0.01,0.01,0.01,0.01,0.01,0.11,0.11,0.01,0.61,0.11,8
Doc197,0.52,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc198,0.03,0.03,0.03,0.36,0.44,0.03,0.03,0.03,0.03,0.03,4
Doc199,0.02,0.02,0.02,0.02,0.66,0.02,0.02,0.02,0.02,0.21,4
Doc200,0.01,0.01,0.1,0.33,0.14,0.01,0.01,0.37,0.01,0.01,7
Doc201,0.1,0.19,0.01,0.01,0.33,0.01,0.01,0.32,0.01,0.01,4
Doc202,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,9
Doc203,0.08,0.16,0.01,0.18,0.14,0.01,0.01,0.01,0.01,0.4,9
Doc204,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,6
Doc205,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
Doc206,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.53,9
Doc207,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc208,0.03,0.03,0.03,0.03,0.03,0.27,0.52,0.03,0.03,0.03,6
Doc209,0.01,0.01,0.01,0.12,0.01,0.12,0.01,0.68,0.01,0.01,7
Doc210,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,5
Doc211,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc212,0.46,0.22,0.09,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0
Doc213,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.64,0.02,8
Doc214,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
Doc215,0.02,0.25,0.02,0.35,0.02,0.02,0.28,0.02,0.02,0.02,3
Doc216,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,9
Doc217,0.09,0.01,0.01,0.01,0.1,0.01,0.11,0.01,0.01,0.65,9
Doc218,0.01,0.01,0.01,0.62,0.01,0.16,0.01,0.01,0.14,0.01,3
Doc219,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.52,0.03,8
Doc220,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc221,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc222,0.01,0.31,0.01,0.09,0.42,0.01,0.12,0.01,0.01,0.01,4
Doc223,0.41,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11,0.41,0
Doc224,0.01,0.01,0.01,0.01,0.01,0.51,0.01,0.11,0.31,0.01,5
Doc225,0.01,0.01,0.01,0.01,0.21,0.01,0.56,0.01,0.16,0.01,6
Doc226,0.01,0.01,0.01,0.14,0.23,0.01,0.29,0.26,0.01,0.01,6
Doc227,0.02,0.22,0.22,0.02,0.42,0.02,0.02,0.02,0.02,0.02,4
Doc228,0.03,0.52,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,1
Doc229,0.01,0.16,0.59,0.01,0.01,0.01,0.01,0.16,0.01,0.01,2
Doc230,0.01,0.32,0.01,0.08,0.01,0.01,0.01,0.32,0.08,0.16,1
Doc231,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc232,0.01,0.37,0.19,0.28,0.1,0.01,0.01,0.01,0.01,0.01,1
Doc233,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.28,0.03,1
Doc234,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,7
Doc235,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,0.02,7
Doc236,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.42,0.02,2
Doc237,0.01,0.62,0.01,0.01,0.14,0.15,0.01,0.01,0.01,0.01,1
Doc238,0.01,0.16,0.01,0.01,0.25,0.14,0.01,0.01,0.01,0.38,9
Doc239,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc240,0.01,0.01,0.17,0.17,0.01,0.01,0.57,0.01,0.01,0.01,6
Doc241,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,1
Doc242,0.02,0.02,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,4
Doc243,0.19,0.01,0.41,0.01,0.34,0.01,0.01,0.01,0.01,0.01,2
Doc244,0.01,0.01,0.01,0.3,0.16,0.01,0.3,0.01,0.01,0.16,3
Doc245,0.18,0.02,0.02,0.02,0.52,0.02,0.02,0.02,0.02,0.18,4
Doc246,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.85,0.02,8
Doc247,0.02,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0.68,0.02,8
Doc248,0.01,0.49,0.01,0.01,0.01,0.01,0.43,0.01,0.01,0.01,1
Doc249,0.14,0.14,0.14,0.01,0.01,0.01,0.14,0.01,0.26,0.14,8
Doc250,0.01,0.24,0.39,0.11,0.01,0.11,0.1,0.01,0.01,0.01,2
Doc251,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.16,0.59,0.01,8
Doc252,0.01,0.2,0.01,0.06,0.06,0.06,0.34,0.01,0.01,0.26,6
Doc253,0.01,0.01,0.01,0.01,0.01,0.01,0.89,0.01,0.01,0.01,6
Doc254,0.37,0.01,0.01,0.01,0.14,0.14,0.01,0.01,0.01,0.28,0
Doc255,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,7
Doc256,0.03,0.03,0.03,0.03,0.42,0.03,0.03,0.03,0.03,0.38,4
Doc257,0.35,0.18,0.18,0.02,0.02,0.02,0.18,0.02,0.02,0.02,0
Doc258,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.34,0
Doc259,0.01,0.41,0.21,0.01,0.01,0.01,0.01,0.11,0.21,0.01,1
Doc260,0.01,0.57,0.01,0.01,0.32,0.01,0.01,0.01,0.01,0.01,1
Doc261,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,1
Doc262,0.02,0.02,0.02,0.02,0.02,0.21,0.02,0.45,0.02,0.22,7
Doc263,0.02,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.22,0.02,2
Doc264,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc265,0.01,0.01,0.01,0.01,0.16,0.01,0.44,0.01,0.3,0.01,6
Doc266,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc267,0.01,0.51,0.01,0.01,0.11,0.01,0.31,0.01,0.01,0.01,1
Doc268,0.03,0.27,0.28,0.03,0.03,0.28,0.03,0.03,0.03,0.03,2
Doc269,0.01,0.47,0.01,0.01,0.01,0.01,0.18,0.01,0.26,0.01,1
Doc270,0.01,0.01,0.01,0.01,0.01,0.48,0.26,0.01,0.01,0.17,5
Doc271,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc272,0.03,0.03,0.03,0.03,0.42,0.03,0.03,0.03,0.03,0.38,4
Doc273,0.26,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.14,0.01,2
Doc274,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc275,0.32,0.17,0.01,0.01,0.01,0.01,0.32,0.01,0.12,0.01,0
Doc276,0.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.51,0.26,8
Doc277,0.02,0.31,0.02,0.02,0.02,0.33,0.22,0.02,0.02,0.02,5
Doc278,0.01,0.15,0.01,0.01,0.01,0.01,0.75,0.01,0.01,0.01,6
Doc279,0.02,0.62,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,1
Doc280,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc281,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc282,0.21,0.23,0.01,0.01,0.01,0.39,0.01,0.01,0.11,0.01,5
Doc283,0.02,0.62,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,1
Doc284,0.01,0.3,0.01,0.01,0.01,0.62,0.01,0.01,0.01,0.01,5
Doc285,0.01,0.01,0.11,0.1,0.18,0.46,0.1,0.01,0.01,0.01,5
Doc286,0.01,0.29,0.61,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc287,0.67,0.01,0.01,0.01,0.12,0.13,0.01,0.01,0.01,0.01,0
Doc288,0.22,0.02,0.02,0.02,0.24,0.02,0.02,0.02,0.02,0.4,9
Doc289,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,0.01,4
Doc290,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc291,0.01,0.39,0.21,0.01,0.01,0.01,0.01,0.01,0.01,0.33,1
Doc292,0.01,0.01,0.01,0.16,0.01,0.01,0.16,0.01,0.59,0.01,8
Doc293,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,4
Doc294,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.73,0.01,8
Doc295,0.01,0.01,0.17,0.01,0.41,0.01,0.01,0.01,0.01,0.31,4
