,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc22859,0.03,0.03,0.03,0.03,0.52,0.03,0.27,0.03,0.03,0.03,4
Doc22860,0.03,0.27,0.03,0.27,0.03,0.28,0.03,0.03,0.03,0.03,5
Doc22861,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,3
Doc22862,0.02,0.02,0.02,0.02,0.22,0.42,0.02,0.02,0.02,0.22,5
Doc22863,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,6
Doc22864,0.01,0.01,0.01,0.01,0.01,0.34,0.21,0.01,0.01,0.35,9
Doc22865,0.21,0.11,0.21,0.01,0.11,0.01,0.01,0.11,0.21,0.01,0
Doc22866,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc22867,0.03,0.43,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc22868,0.01,0.01,0.19,0.14,0.01,0.01,0.14,0.01,0.01,0.46,9
Doc22869,0.16,0.16,0.3,0.01,0.01,0.3,0.01,0.01,0.01,0.01,2
Doc22870,0.21,0.01,0.21,0.01,0.11,0.01,0.21,0.01,0.01,0.21,0
Doc22871,0.26,0.01,0.1,0.1,0.1,0.01,0.2,0.01,0.01,0.2,0
Doc22872,0.53,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc22873,0.01,0.01,0.2,0.1,0.1,0.19,0.01,0.01,0.01,0.37,9
Doc22874,0.09,0.01,0.1,0.29,0.1,0.1,0.01,0.2,0.01,0.1,3
Doc22875,0.03,0.52,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,1
Doc22876,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,1
Doc22877,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,1
Doc22878,0.02,0.02,0.18,0.18,0.02,0.02,0.35,0.18,0.02,0.02,6
Doc22879,0.01,0.01,0.01,0.57,0.01,0.12,0.01,0.12,0.12,0.01,3
Doc22880,0.02,0.02,0.02,0.22,0.02,0.02,0.42,0.02,0.02,0.22,6
Doc22881,0.2,0.08,0.01,0.01,0.12,0.01,0.3,0.12,0.01,0.15,6
